"Gene","BIOS","adjP","AUC_train","Em","Es"
"LOC107984913",0.285805488882861,0.532594703354402,0.58641975308642,0,0
"PHF13",0.323096687606518,0.192434954107693,0.719135802469136,0,0
"THAP3",0.347344239595405,0.00715116790632662,0.799382716049383,0,0
"DNAJC11",0.34401667333492,0.00951882611917171,0.787037037037037,0,0
"LINC01672",0.261538461538462,0.999999999999999,0.5,0,0
"CAMTA1-DT",0.271513146629187,0.680001850193898,0.535493827160494,0,0
"CAMTA1",0.243709837993423,0.520804429219246,0.435185185185185,0,0
"CAMTA1-AS2",0.253903618354882,0.532594703354402,0.472222222222222,0,0
"CAMTA1-AS1",0.28825483241962,0.439323224349809,0.595679012345679,0,0
"LOC105376691",0.27015285176256,0.560908192397634,0.530864197530864,0,0
"LOC105376689",0.6047042807243,0.0346112798882398,0.75,1,0.33
"VAMP3",0.323013722342775,0.0898687046935976,0.719135802469136,0,0
"PER3",0.336906224582868,0.0404990338821555,0.756172839506173,0,0
"UTS2",0.276975134641868,0.898042623377983,0.555555555555556,0,0
"TNFRSF9",0.613033836195534,0.0153194363504557,0.780864197530864,1,0.33
"PARK7",0.327548831092276,0.0656814668926678,0.734567901234568,0,0
"ERRFI1",0.273520123811609,0.899785671317444,0.54320987654321,0,0
"LOC107984915",0.269289063131553,0.532594703354402,0.527777777777778,0,0
"LINC01714",0.277125393215009,0.339782165952421,0.555555555555556,0,0
"LOC105376695",0.339255849324414,0.0378837118620936,0.768518518518518,0,0
"SLC45A1",0.296044721635932,0.532594703354402,0.623456790123457,0,0
"RERE",0.338533661554687,0.0274871747687393,0.768518518518518,0,0
"RERE-AS1",0.339922686452902,0.0325664644729347,0.770061728395062,0,0
"SNORD128",0.262393810886918,0.983683577980745,0.503086419753086,0,0
"ENO1",0.345777686951058,0.0123811253586159,0.790123456790123,0,0
"MIR6728",0.245655019111623,0.185022913911251,0.436728395061728,0,0
"ENO1-AS1",0.256087849836408,0.670548330748918,0.479938271604938,0,0
"LINC03153",0.30836273113924,0.186279838406319,0.665123456790123,0,0
"CA6",0.25,0.999999999999999,0.458333333333333,0,0
"SLC2A7",0.302080102157256,0.318842753916655,0.643518518518518,0,0
"SLC2A5",0.39715066443463,0.000107468003634054,0.922839506172839,0,0
"GPR157",0.332894625459081,0.0552625900304662,0.75,0,0
"MIR34AHG",0.335815226320845,0.0347573178061061,0.753086419753086,0,0
